距离故障月份,月平均负荷率,月最大负荷率,环境温度（℃）,油温（℃）,绕组温度（℃）,绝缘电阻（MΩ）,介质损耗角tanδ,局部放电量（pC）,SF6气体压力（MPa）
-3,-0.02224752859374709,-0.02214841392591423,-0.04595835036052528,-0.015437962445983871,-0.016383282165051964,-0.008600854970462134,-0.032826716360963,0.006186381911173545,-0.0005428614543566196
-2,-0.001995617851507478,2.7261928107743672e-05,-0.03430021437923069,0.0027548065824215145,0.002475383416325902,-0.005495658760299301,0.03128709040342208,0.012971015521594239,0.0002381310126004507
-1,0.0232643953918019,0.02118916113625446,0.07760136652711848,0.011842602296700679,0.012999480936820173,0.013575845583139016,0.0006584376929638936,-0.01830562967519887,0.0002949515640405941
0,0.046806089537011784,0.041900025691282095,0.26563736196496995,0.02084767210987693,0.014651931086303756,-0.002446723738402065,0.009240815386753523,0.16605600902881593,0.0020215031271776473
