月份,故障抢修成本,计划检修成本,备件消耗成本,总成本,成本环比增长率
2023-03-01,27.95,18883.3,129.2595,19040.5095,7864.474333662389
2023-06-01,31.400000000000002,1031.8,139.802,1203.002,246.1512675647018
2023-12-01,29.549999999999997,51.12,184.0435,264.71349999999995,86.19635785579129
2024-04-01,27.25,703.3,155.0845,885.6344999999999,379.55993318045336
2024-06-01,21.87,1127.91,154.7295,1304.5095,310.2747200905774
2024-09-01,25.939999999999998,5767.87,145.308,5939.1179999999995,1516.6848139719732
2025-04-01,27.29,693.83,129.4485,850.5685,298.33117129436664
2025-06-01,55.58,1091.22,136.7935,1283.5935,194.83191670427883
2026-04-01,21.43,714.93,159.436,895.7959999999999,456.69412448302967
